42329,2010,ART,222,10,AR,0
42339,2010,BIOL,207,10,BB,236
42342,2010,BIOL,474,20,BB,250
42343,2010,BSAD,101,11,NH,125
42344,2010,BSAD,101,12,NH,B19
42345,2010,BSAD,101,13,NH,19
42346,2010,BSAD,101,14,NH,125
42347,2010,BSAD,101,15,SC,14
42348,2010,BSAD,102,21,CA,7
42349,2010,BSAD,102,22,SC,14
42350,2010,BSAD,102,23,BB,337
42351,2010,BSAD,102,24,NH,B19
42352,2010,BSAD,102,25,EG,21
42360,2010,CELT,333,0,IM,202
42385,2010,ENGL,496,10,NH,420
42392,2010,HIST,100,13,NH,21
42393,2010,HIST,200,12,NH,18
42401,2010,HIST,330,0,NH,B27
42404,2010,HIST,490,0,,
42413,2010,HKIN,354,22,OC,207
42414,2010,HKIN,385,20,OC,A209
42417,2010,HKIN,446,10,OC,104
42418,2010,HKIN,446,20,OC,205A
42429,2010,HNU,146,10,BB,237
42430,2010,HNU,185,10,BB,237
42431,2010,HNU,335,20,BB,237
42432,2010,HNU,405,20,NH,B19
42434,2010,HNU,467,10,BB,236
42435,2010,HNU,475,10,BB,237
42438,2010,HKIN,426,20,OC,A209
42459,2010,CSCI,254,11,NH,B22
42490,2010,PSYC,260,15,BB,236
42505,2010,SOCI,201,20,AX,124
42524,2010,SOCI,491,0,AX,113
42527,2010,NURS,405,12,MB,1
42528,2010,NURS,415,22,MA,15
42530,2010,NURS,491,22,MB,101
42539,2010,PHIL,331,11,NH,20
42542,2010,DEVS,200,0,NH,B21
42571,2010,AQUA,450,10,NH,B23
42592,2010,SOCI,212,10,AX,124
42608,2010,CELT,100,0,IM,202
42616,2010,HKIN,392,20,OC,104
42632,2010,ART,100,17,AR,0
42639,2010,ART,100,18,AR,0
42673,2010,ART,145,21,AR,0
42787,2010,ART,211,22,AR,0
42795,2010,MUSI,106,11,,
42796,2010,MUSI,107,10,AQ,210
42797,2010,MUSI,190,0,,
42798,2010,MUSI,206,11,,
42799,2010,MUSI,207,10,AQ,102
42802,2010,MUSI,306,11,,
42803,2010,MUSI,307,10,AQ,301
42805,2010,MUSI,395,10,,
42806,2010,MUSI,406,11,,
42807,2010,MUSI,407,10,,
42809,2010,MUSI,416,20,AQ,102
42810,2010,MUSI,420,0,AQ,102
